City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Katsuura,35.1333,140.3,59.49,75,100,11.74,JP,2022-11-14 20:07:20
1,Scarborough,54.2797,-0.4044,49.66,92,0,5.55,GB,2022-11-14 20:16:19
2,Codrington,-38.2667,141.9667,48.49,65,100,17.49,AU,2022-11-14 20:16:19
3,San Cristobal,7.7669,-72.225,78.98,60,68,4.25,VE,2022-11-14 20:12:35
4,Charlottetown,46.2352,-63.1267,39.56,80,97,20.0,CA,2022-11-14 20:13:27
5,Hermanus,-34.4187,19.2345,60.8,66,100,5.53,ZA,2022-11-14 20:16:20
6,Busselton,-33.65,115.3333,51.28,83,0,11.25,AU,2022-11-14 20:16:20
7,San Jose,37.3394,-121.895,63.79,47,20,4.61,US,2022-11-14 20:16:21
8,Cidreira,-30.1811,-50.2056,78.33,57,18,8.66,BR,2022-11-14 20:07:57
9,San Luis,-33.295,-66.3356,77.92,21,0,3.24,AR,2022-11-14 20:16:21
10,Victoria,22.2855,114.1577,76.17,80,100,8.01,HK,2022-11-14 20:06:21
11,Pouembout,-21.1333,164.9,75.61,77,33,0.51,NC,2022-11-14 20:07:19
12,Ushuaia,-54.8,-68.3,58.62,67,75,3.44,AR,2022-11-14 20:16:22
13,Jamestown,42.097,-79.2353,36.99,67,100,1.99,US,2022-11-14 20:15:39
14,Mataura,-46.1927,168.8643,58.48,64,6,3.33,NZ,2022-11-14 20:16:22
15,Hun,29.1268,15.9477,66.02,35,0,4.34,LY,2022-11-14 20:16:23
16,Siyabuswa,-25.1132,29.0445,68.5,63,70,9.86,ZA,2022-11-14 20:16:23
17,North Bend,43.4065,-124.2243,56.16,59,0,4.61,US,2022-11-14 20:15:12
18,Albany,42.6001,-73.9662,40.59,45,5,1.01,US,2022-11-14 20:12:05
19,Punta Arenas,-53.15,-70.9167,60.82,47,75,8.05,CL,2022-11-14 20:16:24
20,Longyearbyen,78.2186,15.6401,31.84,74,75,33.38,SJ,2022-11-14 20:16:24
21,Bengkulu,-3.8004,102.2655,74.73,91,100,7.38,ID,2022-11-14 20:14:26
22,Dutlwe,-23.9833,23.9,77.05,46,92,18.92,BW,2022-11-14 20:16:25
23,Upernavik,72.7868,-56.1549,21.96,91,100,20.22,GL,2022-11-14 20:16:25
24,Port Alfred,-33.5906,26.891,66.18,81,61,7.0,ZA,2022-11-14 20:16:25
25,Kaitangata,-46.2817,169.8464,59.77,70,100,3.0,NZ,2022-11-14 20:16:26
26,Hilo,19.7297,-155.09,78.24,81,75,5.75,US,2022-11-14 20:13:42
27,Rikitea,-23.1203,-134.9692,74.62,81,100,15.32,PF,2022-11-14 20:16:26
28,Bredasdorp,-34.5322,20.0403,62.64,76,100,3.0,ZA,2022-11-14 20:15:32
29,Elbistan,38.2059,37.1983,47.5,48,0,0.74,TR,2022-11-14 20:16:27
30,Adrar,20.5022,-10.0711,80.89,17,89,9.98,MR,2022-11-14 20:16:27
31,Chuy,-33.6971,-53.4616,64.35,83,92,15.01,UY,2022-11-14 20:16:27
32,Ritchie,-29.038,24.6028,69.01,26,97,10.83,ZA,2022-11-14 20:16:28
33,Qaanaaq,77.484,-69.3632,-5.4,67,11,6.31,GL,2022-11-14 20:16:28
34,North Platte,41.1239,-100.7654,37.29,50,40,15.01,US,2022-11-14 20:16:29
35,Faanui,-16.4833,-151.75,78.1,80,100,8.03,PF,2022-11-14 20:08:05
36,Jalu,29.0331,21.5482,62.49,37,0,6.15,LY,2022-11-14 20:16:29
37,Bukachacha,52.9833,116.9167,3.65,99,93,0.83,RU,2022-11-14 20:16:29
38,Bambous Virieux,-20.3428,57.7575,70.21,67,91,17.45,MU,2022-11-14 20:07:20
39,Lebu,-37.6167,-73.65,60.98,78,92,7.31,CL,2022-11-14 20:11:38
40,Diebougou,10.9667,-3.25,83.35,26,0,6.15,BF,2022-11-14 20:16:30
41,Arraial Do Cabo,-22.9661,-42.0278,84.16,78,0,18.41,BR,2022-11-14 20:16:30
42,Kulhudhuffushi,6.6221,73.07,81.55,74,100,8.28,MV,2022-11-14 20:16:31
43,Hantsport,45.0668,-64.1654,40.69,82,100,5.99,CA,2022-11-14 20:16:31
44,Carnarvon,-24.8667,113.6333,70.66,61,1,17.72,AU,2022-11-14 20:17:31
45,Dwarka,22.2394,68.9678,78.58,63,0,7.74,IN,2022-11-14 20:17:32
46,Havoysund,70.9963,24.6622,39.43,66,100,17.63,NO,2022-11-14 20:17:32
47,Saldanha,-33.0117,17.9442,62.65,84,100,10.71,ZA,2022-11-14 20:17:32
48,Araouane,18.9048,-3.5265,82.58,17,100,8.05,ML,2022-11-14 20:17:33
49,Kijang,35.2442,129.2139,46.13,67,3,5.39,KR,2022-11-14 20:17:33
50,Hithadhoo,-0.6,73.0833,81.79,78,100,15.95,MV,2022-11-14 20:17:33
51,Yerbogachen,61.2767,108.0108,-19.21,95,8,5.64,RU,2022-11-14 20:17:33
52,Avarua,-21.2078,-159.775,75.25,57,95,13.8,CK,2022-11-14 20:08:32
53,Rocha,-34.4833,-54.3333,62.35,95,97,13.18,UY,2022-11-14 20:14:27
54,Shimoda,34.6667,138.95,51.1,84,100,13.71,JP,2022-11-14 20:17:34
55,Tuktoyaktuk,69.4541,-133.0374,19.4,93,100,16.11,CA,2022-11-14 20:08:25
56,Touros,-5.1989,-35.4608,80.44,74,29,12.12,BR,2022-11-14 20:17:34
57,Kapaa,22.0752,-159.319,80.92,76,40,13.8,US,2022-11-14 20:17:34
58,Tommot,58.9564,126.2925,-30.8,100,52,1.03,RU,2022-11-14 20:17:35
59,Kang,-23.6752,22.7876,77.74,34,18,7.0,BW,2022-11-14 20:17:35
60,Atuona,-9.8,-139.0333,77.41,79,12,18.3,PF,2022-11-14 20:17:35
61,Ulladulla,-35.35,150.4667,57.18,81,71,1.97,AU,2022-11-14 20:17:36
62,San Patricio,28.017,-97.5169,78.66,81,97,11.56,US,2022-11-14 20:10:55
63,Ravar,31.2656,56.8055,55.47,48,99,3.58,IR,2022-11-14 20:17:36
64,Beian,63.6559,9.5683,49.01,87,0,8.05,NO,2022-11-14 20:17:36
65,Thompson,55.7435,-97.8558,21.36,68,20,4.61,CA,2022-11-14 20:17:37
66,Kruisfontein,-34.0033,24.7314,67.89,77,84,11.27,ZA,2022-11-14 20:11:58
67,Torbay,47.6666,-52.7314,44.28,98,100,10.36,CA,2022-11-14 20:17:37
68,Darhan,49.4867,105.9228,24.31,61,36,6.31,MN,2022-11-14 20:17:37
69,Comodoro Rivadavia,-45.8667,-67.5,78.66,24,40,24.16,AR,2022-11-14 20:17:38
70,Chornobay,49.6708,32.3239,37.8,80,91,4.7,UA,2022-11-14 20:17:38
71,Reconquista,-29.15,-59.65,84.36,18,0,16.58,AR,2022-11-14 20:17:38
72,Tasiilaq,65.6145,-37.6368,31.19,98,100,2.44,GL,2022-11-14 20:12:49
73,Fairbanks,64.8378,-147.7164,28.22,91,100,0.0,US,2022-11-14 20:15:00
74,Kavieng,-2.5744,150.7967,81.77,73,97,10.36,PG,2022-11-14 20:10:57
75,Esperance,-33.8667,121.9,53.64,86,45,8.88,AU,2022-11-14 20:17:39
76,Tomigusuku,26.185,127.675,71.37,76,75,9.22,JP,2022-11-14 20:17:39
77,Berlevag,70.8578,29.0864,37.4,87,75,14.97,NO,2022-11-14 20:10:47
78,Piterka,50.6803,47.4454,27.55,62,7,16.35,RU,2022-11-14 20:17:39
79,Phan Thiet,10.9333,108.1,75.2,85,78,3.87,VN,2022-11-14 20:17:39
80,Ostrovnoy,68.0531,39.5131,30.13,94,96,7.25,RU,2022-11-14 20:17:40
81,Gifhorn,52.4833,10.55,47.41,87,2,2.3,DE,2022-11-14 20:17:40
82,Pasni,25.2631,63.471,78.51,76,0,9.19,PK,2022-11-14 20:17:40
83,Butaritari,3.0707,172.7902,79.9,81,81,10.31,KI,2022-11-14 20:15:18
84,Dzhebariki-Khaya,62.2167,135.8,-8.05,99,100,3.4,RU,2022-11-14 20:17:41
85,Barrow,71.2906,-156.7887,8.62,85,75,13.8,US,2022-11-14 20:15:20
86,Vaini,-21.2,-175.2,78.96,83,75,6.91,TO,2022-11-14 20:17:41
87,Ilulissat,69.2167,-51.1,12.16,96,100,4.38,GL,2022-11-14 20:17:41
88,Annau,37.8876,58.516,53.1,76,40,9.22,TM,2022-11-14 20:17:41
89,Constitucion,-35.3333,-72.4167,66.27,64,8,17.81,CL,2022-11-14 20:17:42
90,Saint-Philippe,-21.3585,55.7679,71.19,78,79,16.55,RE,2022-11-14 20:16:48
91,Bowen,-20.0167,148.2333,77.05,76,64,3.13,AU,2022-11-14 20:18:42
92,Palu,-0.8917,119.8707,76.05,98,100,2.08,ID,2022-11-14 20:18:43
93,Lucapa,-8.4192,20.7447,64.65,97,83,1.52,AO,2022-11-14 20:18:43
94,Lorengau,-2.0226,147.2712,81.84,78,100,6.13,PG,2022-11-14 20:18:43
95,Krasnoborsk,61.5598,45.934,23.54,76,10,9.17,RU,2022-11-14 20:18:43
96,Isangel,-19.55,169.2667,78.1,74,0,7.65,VU,2022-11-14 20:18:44
97,Saiki,32.95,131.9,56.14,72,99,7.18,JP,2022-11-14 20:18:44
98,Mahebourg,-20.4081,57.7,73.69,56,75,11.5,MU,2022-11-14 20:18:44
99,New Norfolk,-42.7826,147.0587,42.3,88,100,1.01,AU,2022-11-14 20:16:44
100,Banbury,52.0602,-1.3403,53.13,93,100,8.81,GB,2022-11-14 20:18:45
101,Port Elizabeth,-33.918,25.5701,70.11,82,0,13.8,ZA,2022-11-14 20:18:45
102,Mar Del Plata,-38.0023,-57.5575,60.87,97,100,16.11,AR,2022-11-14 20:16:32
103,Malinovskiy,61.1953,62.8397,9.34,89,100,12.5,RU,2022-11-14 20:18:45
104,Brandon,27.9378,-82.2859,82.11,76,40,0.0,US,2022-11-14 20:18:46
105,Roma,43.2128,-75.4557,38.95,54,40,11.5,US,2022-11-14 20:16:02
106,Norman Wells,65.282,-126.8329,14.04,85,75,9.22,CA,2022-11-14 20:18:46
107,Alice Springs,-23.7,133.8833,56.75,67,9,0.0,AU,2022-11-14 20:18:46
108,Yamethin,20.4333,96.15,67.89,87,46,3.98,MM,2022-11-14 20:18:47
109,Dikson,73.5069,80.5464,1.63,93,100,18.92,RU,2022-11-14 20:09:37
110,Marfino,55.7028,37.3822,32.34,60,75,8.95,RU,2022-11-14 20:18:47
111,San Ignacio,17.1561,-89.0714,84.34,70,40,4.61,BZ,2022-11-14 20:18:47
112,Bambanglipuro,-7.95,110.2833,74.53,92,100,1.92,ID,2022-11-14 20:18:00
113,Hanna,51.6334,-111.9018,26.85,85,6,8.99,CA,2022-11-14 20:18:48
114,Bluff,-46.6,168.3333,58.8,69,40,10.38,NZ,2022-11-14 20:15:23
115,Chokurdakh,70.6333,147.9167,-16.02,98,100,10.36,RU,2022-11-14 20:18:34
116,Bacungan,9.9106,118.7022,78.8,87,92,0.81,PH,2022-11-14 20:18:48
117,Ribeira Grande,38.5167,-28.7,66.78,88,75,8.05,PT,2022-11-14 20:18:48
118,Mandalgovi,45.7625,106.2708,26.26,42,5,8.3,MN,2022-11-14 20:18:49
119,Sao Joao Da Barra,-21.6403,-41.0511,80.69,89,97,22.95,BR,2022-11-14 20:13:19
120,Puerto Ayora,-0.7393,-90.3518,80.56,81,39,7.0,EC,2022-11-14 20:18:49
121,Severo-Kurilsk,50.6789,156.125,33.76,95,100,20.45,RU,2022-11-14 20:18:49
122,Lokosovo,61.1333,74.8167,14.27,93,100,12.75,RU,2022-11-14 20:18:49
123,Davila,18.4726,120.5763,79.45,84,9,15.01,PH,2022-11-14 20:18:50
124,Cape Town,-33.9258,18.4232,67.26,55,0,3.44,ZA,2022-11-14 20:18:15
125,Bimbo,4.2567,18.4158,75.0,72,25,1.7,CF,2022-11-14 20:18:50
126,Qatana,33.4354,36.0815,50.43,63,40,3.31,SY,2022-11-14 20:18:50
127,Hobart,-42.8794,147.3294,42.66,93,100,14.97,AU,2022-11-14 20:15:49
128,Cockburn Town,21.4612,-71.1419,81.12,73,0,10.47,TC,2022-11-14 20:12:21
129,Safranbolu,41.2508,32.6942,43.57,90,16,1.16,TR,2022-11-14 20:18:51
130,Izumo,35.3667,132.7667,46.35,74,84,3.87,JP,2022-11-14 20:17:27
131,Zhob,31.3411,69.4481,48.85,69,0,3.87,PK,2022-11-14 20:18:51
132,Opuwo,-18.0607,13.84,71.91,32,1,7.87,NA,2022-11-14 20:18:51
133,Tawang,27.5833,91.8667,36.01,78,5,4.83,IN,2022-11-14 20:18:52
134,Suleja,9.1758,7.1808,72.59,30,39,5.1,NG,2022-11-14 20:18:52
135,Zhenlai,45.8495,123.2973,23.09,59,0,3.8,CN,2022-11-14 20:19:52
136,Lumsden,50.6501,-104.8678,19.0,87,100,3.33,CA,2022-11-14 20:15:13
137,Castro,-24.7911,-50.0119,71.37,77,96,7.96,BR,2022-11-14 20:19:53
138,Pak Phanang,8.3511,100.202,78.44,86,100,2.53,TH,2022-11-14 20:19:53
139,College,64.8569,-147.8028,28.2,91,100,0.0,US,2022-11-14 20:19:53
140,Margate,51.3813,1.3862,57.9,95,10,3.0,GB,2022-11-14 20:19:54
141,Ouargaye,11.5033,0.0572,81.57,21,8,9.28,BF,2022-11-14 20:19:54
142,Salalah,17.0151,54.0924,77.09,61,0,3.44,OM,2022-11-14 20:18:35
143,Kahului,20.8947,-156.47,80.96,68,40,16.11,US,2022-11-14 20:13:22
144,Sinjar,36.3209,41.8754,58.55,39,0,3.0,IQ,2022-11-14 20:19:54
145,Sao Filipe,14.8961,-24.4956,75.9,73,71,13.8,CV,2022-11-14 20:19:54
146,Tsiroanomandidy,-18.7667,46.0333,67.28,92,94,2.46,MG,2022-11-14 20:19:55
147,Lengshuijiang,27.6881,111.4294,49.21,88,88,0.47,CN,2022-11-14 20:19:55
148,Pala,9.3642,14.9046,78.98,30,20,4.68,TD,2022-11-14 20:19:55
149,Xiantao,30.3833,113.4,46.99,70,3,3.0,CN,2022-11-14 20:19:56
150,Caibarien,22.5206,-79.4669,85.32,71,10,12.59,CU,2022-11-14 20:17:31
151,Lavrentiya,65.5833,-171.0,18.59,78,100,3.38,RU,2022-11-14 20:19:56
152,Waipawa,-41.4122,175.5153,58.82,70,0,7.83,NZ,2022-11-14 20:19:56
153,Portsmouth,50.799,-1.0913,54.91,86,100,8.01,GB,2022-11-14 20:19:56
154,Barlad,46.2333,27.6667,44.69,85,40,2.06,RO,2022-11-14 20:19:57
155,Saskylakh,71.9167,114.0833,-12.01,90,100,9.1,RU,2022-11-14 20:19:41
156,Ponta Do Sol,32.6667,-17.1,68.72,79,100,0.96,PT,2022-11-14 20:19:57
157,West Wendover,40.7391,-114.0733,36.61,52,0,5.75,US,2022-11-14 20:19:57
158,Richards Bay,-28.783,32.0377,66.24,80,1,2.77,ZA,2022-11-14 20:19:58
159,Myitkyina,25.3833,97.4,58.28,71,2,2.42,MM,2022-11-14 20:19:58
160,Bongouanou,6.6486,-4.1992,72.46,97,100,2.93,CI,2022-11-14 20:19:58
161,Saint George,37.1041,-113.5841,52.43,33,0,5.75,US,2022-11-14 20:13:15
162,Grand Gaube,-20.0064,57.6608,73.8,72,41,5.99,MU,2022-11-14 20:19:59
163,Khorramshahr,30.4397,48.1664,64.36,77,0,2.3,IR,2022-11-14 20:19:59
164,Kralendijk,12.15,-68.2667,85.98,74,40,13.8,BQ,2022-11-14 20:19:59
165,Popondetta,-8.7537,148.2534,73.31,91,100,2.95,PG,2022-11-14 20:19:59
166,Souillac,-20.5167,57.5167,73.78,56,75,11.5,MU,2022-11-14 20:19:50
167,Nikolskoye,59.7035,30.7861,33.8,93,100,5.3,RU,2022-11-14 20:20:00
168,Omsukchan,62.5333,155.8,-10.46,76,9,2.8,RU,2022-11-14 20:20:00
169,Amahai,-3.3333,128.9167,79.68,84,100,2.62,ID,2022-11-14 20:20:00
170,Waingapu,-9.6567,120.2641,80.15,82,97,2.84,ID,2022-11-14 20:20:01
171,Klaksvik,62.2266,-6.589,50.92,92,100,29.06,FO,2022-11-14 20:13:20
172,Cabedelo,-6.9811,-34.8339,81.27,74,35,11.61,BR,2022-11-14 20:20:01
173,Sembakung,3.8167,117.25,72.37,98,100,2.26,ID,2022-11-14 20:12:07
174,Nantucket,41.2835,-70.0995,46.54,54,0,10.36,US,2022-11-14 20:20:01
175,Muros,42.7762,-9.0603,60.84,83,100,22.55,ES,2022-11-14 20:20:02
176,Ucluelet,48.9329,-125.5528,44.1,93,1,1.01,CA,2022-11-14 20:15:11
177,Verkhnyaya Sinyachikha,57.976,61.6673,14.56,91,100,12.66,RU,2022-11-14 20:20:03
178,Gravdal,68.1214,13.5031,37.29,87,20,3.44,NO,2022-11-14 20:20:03
179,Fare,-16.7,-151.0167,78.57,78,95,9.13,PF,2022-11-14 20:21:03
180,Mount Isa,-20.7333,139.5,69.57,35,100,10.36,AU,2022-11-14 20:11:59
181,Filadelfia,39.9523,-75.1638,48.38,41,40,9.22,US,2022-11-14 20:20:40
182,Sola,-13.8833,167.55,80.73,70,0,1.63,VU,2022-11-14 20:21:04
183,Kamenka,51.3223,42.7678,27.86,64,6,10.94,RU,2022-11-14 20:21:04
184,Soc Trang,9.6033,105.98,76.84,92,100,6.55,VN,2022-11-14 20:18:19
185,Provideniya,64.3833,-173.3,25.3,88,100,10.04,RU,2022-11-14 20:19:10
186,Hofn,64.2539,-15.2082,44.92,84,100,11.72,IS,2022-11-14 20:21:05
187,Meulaboh,4.1363,96.1285,75.06,92,100,4.56,ID,2022-11-14 20:21:06
188,Narrabri,-30.3167,149.7833,61.52,83,0,0.78,AU,2022-11-14 20:21:06
